sessionID,iterations,time,cpu,cpuID,value,point,findType,functionType,particlesNum
d9a61e18fe30783ef774,21,85,4,0,-0.000003963820698208762,"(0.9984850420413178,0.9968432001153217)",FIND_OPTIMUM,Rosenbrock,100
d9a61e18fe30783ef774,21,89,4,2,-0.000004277319277182491,"(1.0005202852299842,1.0012410066521331)",FIND_OPTIMUM,Rosenbrock,100
d9a61e18fe30783ef774,20,89,4,3,-0.0000023759069978916778,"(0.9998629875888146,0.9998795235757404)",FIND_OPTIMUM,Rosenbrock,100
d9a61e18fe30783ef774,10000,55016,4,1,-0.0005893037873945067,"(0.9757563302921578,0.9519759867480893)",ITERATION_LIMIT,Rosenbrock,100
566b0ce35b30de3a73d7,24,104,4,0,-0.0000021962704186072774,"(0.998873263847516,0.9976515300978597)",FIND_OPTIMUM,Rosenbrock,100
566b0ce35b30de3a73d7,19,84,4,1,-0.0000010292020037516386,"(1.0002856744725488,1.0006687748973893)",FIND_OPTIMUM,Rosenbrock,100
566b0ce35b30de3a73d7,34,128,4,2,-0.000008463248246404971,"(0.9970955351244363,0.9942160385675192)",FIND_OPTIMUM,Rosenbrock,100
566b0ce35b30de3a73d7,10000,40988,4,3,-0.00001881427659776699,"(1.0043364589147166,1.0087014184150953)",ITERATION_LIMIT,Rosenbrock,100
24130a730536db13518d,36,117,4,0,-0.0000084050345369967,"(0.9972022657734818,0.9944883666090795)",FIND_OPTIMUM,Rosenbrock,100
24130a730536db13518d,16,91,4,1,-0.000007753879040896983,"(1.0019443103236174,1.004091738302141)",FIND_OPTIMUM,Rosenbrock,100
24130a730536db13518d,34,109,4,2,-0.000009880576655222729,"(0.9975099783924408,0.994834314112789)",FIND_OPTIMUM,Rosenbrock,100
24130a730536db13518d,23,93,4,3,-0.000003916984495767022,"(0.9984260770464695,0.9969746209522924)",FIND_OPTIMUM,Rosenbrock,100
80f2ba644f4341d39c8e,29,119,4,0,-0.000007300180358156179,"(1.0024419734719714,1.0047742838007523)",FIND_OPTIMUM,Rosenbrock,100
80f2ba644f4341d39c8e,43,163,4,1,-0.000009604476162316724,"(0.9969267914908793,0.9938230443931043)",FIND_OPTIMUM,Rosenbrock,100
80f2ba644f4341d39c8e,17,66,4,3,-4.702645033030513e-7,"(1.0006223469683162,1.0012162804269886)",FIND_OPTIMUM,Rosenbrock,100
80f2ba644f4341d39c8e,10000,32741,4,2,-0.0007244350700393598,"(0.9730862289268298,0.9468678267496966)",ITERATION_LIMIT,Rosenbrock,100
84c5794cc3052ed00970,32,107,4,2,-0.0000035805493152180717,"(0.9981110072162291,0.9962145122347521)",FIND_OPTIMUM,Rosenbrock,100
84c5794cc3052ed00970,10000,37695,4,0,-0.0015879549146171953,"(1.0398379836566982,1.0813573706241897)",ITERATION_LIMIT,Rosenbrock,100
84c5794cc3052ed00970,10000,37680,4,1,-0.000014042719037924664,"(0.9962566228483457,0.9925099824184631)",ITERATION_LIMIT,Rosenbrock,100
84c5794cc3052ed00970,10000,37701,4,3,-0.1858762972582882,"(1.4311337150109775,2.048130656842562)",ITERATION_LIMIT,Rosenbrock,100
b4e8e48ec8875bb78718,28,170,4,0,-0.000005949378279335371,"(0.9975609184033919,0.9951261758189185)",FIND_OPTIMUM,Rosenbrock,100
b4e8e48ec8875bb78718,20,88,4,1,-3.7496133403155493e-7,"(0.9999915416059816,1.0000443115277746)",FIND_OPTIMUM,Rosenbrock,100
b4e8e48ec8875bb78718,51,169,4,2,-1.6444725493797584e-7,"(1.0000665211421813,1.0000930439354485)",FIND_OPTIMUM,Rosenbrock,100
b4e8e48ec8875bb78718,100000,392631,4,3,-0.9126710680308406,"(1.9076197949635665,3.6688289451046714)",ITERATION_LIMIT,Rosenbrock,100
361a5d98173ad56266f0,23,459,1,0,-0.0000943165435963258,"(1.0022469735688868,1.0035541804196488)",FIND_OPTIMUM,Rosenbrock,100
f1d5afcdef43cbb4bf3b,25000,146055,1,0,-8.644104651967178,"(3.940030418452735,15.525644665201824)",ITERATION_LIMIT,Rosenbrock,100
8d835138dc3f8dc34ebf,44,832,1,0,-0.00004033998897513114,"(1.0043493374193948,1.0091804441753682)",FIND_OPTIMUM,Rosenbrock,100
f379494be6c7b4e7084a,87,1604,1,0,-0.00009600070104006735,"(0.9904063327539258,0.9811037579671197)",FIND_OPTIMUM,Rosenbrock,100
6ab49c400d3f703dde9d,16,288,1,0,-0.00004887038167689826,"(1.0036382490988829,1.0066927968232007)",FIND_OPTIMUM,Rosenbrock,100
5958ac5719c39a248052,21,380,1,0,-0.00005176909603017744,"(1.0003342355629277,0.9999498521343527)",FIND_OPTIMUM,Rosenbrock,100
f519e0b0c202267a3c16,24,461,1,0,-0.000004929191008493924,"(1.0013283806709314,1.0024806328286706)",FIND_OPTIMUM,Rosenbrock,100
1da35bff076683288dbb,33,689,1,0,-0.00005723571256402911,"(0.9928641835158982,0.9855279736446312)",FIND_OPTIMUM,Rosenbrock,100
942070d466de5a5a29d4,25,479,1,0,-0.00003737999311446783,"(1.0060940491190336,1.0122744858960084)",FIND_OPTIMUM,Rosenbrock,100
0081a2ef0de25f12ee82,23,456,1,0,-0.00003391765455262394,"(1.004624167140767,1.00891567295736)",FIND_OPTIMUM,Rosenbrock,100
737764f794f368caa988,30,571,1,0,-0.00006682401816721241,"(0.994311635004084,0.9880685455524605)",FIND_OPTIMUM,Rosenbrock,100
137337ad6c610211c267,25,470,1,0,-0.00007319855309961094,"(1.003405829693371,1.0060384095407633)",FIND_OPTIMUM,Rosenbrock,100
888850778dc6a272844f,17,320,1,0,-0.000008657259605840585,"(0.9980132590081495,0.9962474932610943)",FIND_OPTIMUM,Rosenbrock,100
5f7fe81dcd36cfad3bce,20,159,1,0,-0.00006430085095775808,"(1.0048650244671387,1.0103911527893)",FIND_OPTIMUM,Rosenbrock,100
1499456d215a50d90421,25,432,1,0,-0.00008913999472283304,"(0.9927455461375784,0.9861479783757731)",FIND_OPTIMUM,Rosenbrock,100
e9ff65d58a1229220b93,47,901,1,0,-0.000048897140080038094,"(0.9931279820301677,0.9864325142147933)",FIND_OPTIMUM,Rosenbrock,100
7504bf4d4f9f4c30b4e4,22,395,1,0,-0.000019997726581896494,"(0.9975194967774762,0.9946730600318598)",FIND_OPTIMUM,Rosenbrock,100
